,SMILES,UMAP_0,UMAP_1,global_cluster
296,C1=NC(=NC(=N1)Cl)Cl,0.003677518,2.6191604,-1
297,C1=NC=NC(=N1)Cl,0.4492456,2.4384997,5048
298,C1=NC=[N+](C=N1)[S-],1.280738,2.0014722,-1
299,C1=NC=PC=N1,2.3500626,1.4657807,4528
300,C1=NC=NC(=N1)N=[N+]=[N-],0.35813227,1.9041207,-1
301,C(C(CC(=O)N)C(=O)N)C(=O)N,8.13232,1.7387415,-1
302,CC(CC(=O)N)CC(=O)N,7.8266525,1.6134298,921
303,C1C(C1C(=O)N)C(=O)N,5.890042,6.3557725,-1
304,CCC(CC(=O)N)C(=O)N,8.053353,1.99466,-1
305,C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3,0.061686497,2.3317797,-1
306,C1=CC=C(C=C1)C=C(C2=CC=CC=C2)C3=CC=CC=C3,2.9435606,-2.2314181,-1
