SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1
CCC1=CC=CC=C1,7500,5.048,5.073,3.7444,5.298559,-1.3035999999999999,0.22555899999999962,0.0006,0.000739,0.00013900000000000002,3.798537217421758,5.338647873503587
CC[Si](CC)(CC)C#CC#C,12416619,5.945,5.88,3.2032,4.404974,-2.7418000000000005,-1.4750259999999997,0.0013,4e-06,-0.0012959999999999998,3.254226077871583,4.477970330073289
C1=CC(=CC=C1CCN)CC(=O)O,15103325,4.878,4.952,3.6755,5.089039,-1.2025000000000001,0.1370389999999997,0.001,0.003555,0.002555,3.7972284690598515,4.970231941207859
CC(C(=O)O)OC1=CC(=CC=C1)Cl,7542,4.448,4.811,3.6653,5.01743,-0.7827000000000006,0.2064300000000001,0.0285,0.0208,-0.007700000000000002,3.799271793104672,4.990699744637957
C1=CC=C2C(=C1)C=CC=C2OP(=O)(O)O,2115,3.34,4.23,2.6922,4.277496,-0.6477999999999997,0.04749599999999976,0.0004,0.086152,0.08575200000000001,2.6830169923021137,4.346607684058957
C(C(CF)O)N,55281756,6.05,6.068,5.8742,6.081682,-0.17579999999999973,0.013682000000000194,0.0127,0.009733,-0.002966999999999999,5.764153259573288,6.11396773162285
CC1=C(C=CC2=C1C=CC(=C2)Br)O,27977,3.146,3.954,2.582,3.882135,-0.5640000000000001,-0.07186500000000029,0.0968,0.049682,-0.047118,2.581654496893756,3.8334865838760073
C1=CC=C(C(=C1)N=[N+]=[N-])F,11607924,3.869,4.157,3.1671,3.807284,-0.7019000000000002,-0.3497159999999999,0.0019,0.000243,-0.001657,3.139786813020347,3.9347773786303972
CCC1=CC2=CC=CC=C2N=C1Cl,1084819,3.597,4.278,2.8434,4.346063,-0.7536,0.06806300000000043,0.0523,0.031691,-0.020609000000000002,2.816177825577688,4.229487064661417
C(CSCCO)O,12415665,5.148,5.161,4.819,5.234515,-0.32899999999999974,0.07351500000000044,0.0009,0.001654,0.0007540000000000001,5.029090890745933,5.404381175568216
CC1=CC=C(S1)C(C)N=[N+]=[N-],57655923,3.988,4.411,3.2209,4.214333,-0.7671000000000001,-0.1966669999999997,0.0129,0.001935,-0.010964999999999999,3.3071703568357846,4.184074178132682
C1=CC=C(C=C1)CNCC2=CC=CN2,413448,4.812,4.982,3.7299,4.62306,-1.0821,-0.3589400000000005,0.0006,0.03599,0.03539,3.826815259473043,4.87462557282743
C1(=NC(=NC(=N1)F)N)N,13209,4.757,5.319,4.6201,5.546025,-0.1368999999999998,0.22702500000000025,0.0211,0.012751,-0.008349,4.165527219780345,5.136234974092061
COC1=C(C=CC(=C1)C=C)O,332,3.374,4.317,2.7201,4.336276,-0.6539000000000001,0.019275999999999627,0.1279,0.273376,0.145476,2.8754592184698624,4.350961676596396
CC1=NC(=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3,19196,4.099,4.234,3.0901,4.033431,-1.0089000000000001,-0.20056899999999978,0.0017,1e-05,-0.0016899999999999999,3.198656832576432,4.117736012953869
C#CCBr,59073156,5.077,5.352,4.2813,5.023878,-0.7957000000000001,-0.32812200000000047,0.0004,1e-05,-0.00039,3.3521251674945933,4.696402175867633
CC1=CC=C(S1)C(=O)C,83655,2.99,3.896,2.7891,3.740312,-0.2009000000000003,-0.15568800000000005,0.0001,0.000183,8.3e-05,2.681318216735885,3.7702835162936785
COC1=CC=C(C=C1)C=CC2=CC=NC=C2,735606,2.933,4.042,2.2347,3.669827,-0.6982999999999997,-0.37217299999999964,1.4669,0.925645,-0.541255,1.9318111542508631,3.15548114715372
CC1=CC=CC2=N[Se]N=C12,3614319,2.871,4.109,1.9583,3.343688,-0.9127000000000001,-0.7653119999999998,0.2216,0.042823,-0.178777,1.941601498311934,3.5234616149227334
C1=CC(=CC=C1N=NC2=C(N=C(N=C2N)N)N)[N+](=O)[O-],217307,1.802,2.094,1.8522,2.795235,0.05020000000000002,0.701235,0.0937,0.03108,-0.06262000000000001,1.7357919850584396,2.3763973211066602
