,SMILES,UMAP_0,UMAP_1
282,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,4.1870904,-2.4145586
283,C1=CC2=C(C=C1N)C(=O)C=C(N2)C(=O)O,-1.4846396,2.6517425
284,CC(=C)N1C2=CC=CC=C2NC1=O,-1.0681195,3.8917139
285,C1=CC=C(C=C1)CC2=CSC=C2,5.327834,1.3415246
286,CC1=CC(=CC=C1)C(CN)C(=O)O,4.0864387,-0.8267667
287,CCC1(C(=O)NC(=O)N1)C2=CC=CC=C2,3.0229862,7.4545994
288,C1=CN=C(C(=N1)C(=O)O)Cl,1.0612483,2.281046
289,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2CN,-0.63970315,1.9329386
290,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43,-2.356007,1.9036149
291,CC=CC1=CC2=C(C=C1)OCO2,-1.3877388,5.4397664
292,CCC(C(C)N=O)N=O,3.1223705,-1.3463192
293,C1=CC2=CC3=CNC=C3C=C2C=C1,-0.6536761,2.5277243
294,CC(C)OC(=S)SC(C)C,5.4805007,-0.9521294
295,SSS,8.249637,0.0257093
296,CC,10.535512,0.89991134
297,C1=CC(=O)C(=O)C=C1CCN,-0.20032708,3.1118279
298,CO[Si](CCCN)(OC)OC,6.319329,-0.8493694
299,CC(=O)NC(CC(=O)N)C(=O)O,8.074136,2.509988
300,C1=C(OC(=C1)[N+](=O)[O-])CN=O,-0.077752106,-1.9200845
301,CN1C=CC=C1C(=O)N(C)C,4.543877,2.622998
302,CN(C)CCO,9.08675,2.6927414
303,C=C1C=C2C=CC=CC2=CC1=O,1.7245352,6.232167
304,C1=CC(=CC=C1CC2=CC=C(C=C2)C#N)C#N,3.649954,0.6151194
305,[CH+](C#N)C#N,1.6336702,-2.4441643
306,C=CC1=CC=CO1,2.6026914,-2.8638442
307,COC1=CC(=NC=C1)Cl,0.901303,1.6327434
308,CCCCCCCCCCCCOCCO,10.065475,2.5143745
309,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,2.3147178,-0.9986734
310,CC1=CC=C(C=C1)N2C=CC=N2,2.0596776,3.0538373
311,C1=CC=C2C=CC3=C2C(=C1)C=C3,-1.0729921,3.0460606
312,C(C=CO)O,9.607889,-0.47624594
313,CNC(=O)C1=CC=CN1C,4.5448284,2.425966
314,C#CC1=CC=C(C=C1)C#C,1.0173486,1.128489
315,CC1=NC2=C(C=CC=C2N1)C(=O)N,-1.004666,2.5429416
316,CC[N+](CC)(CC)CC,4.219127,-2.45139
317,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,0.38417453,1.5493467
318,C1=CNC(=C1)C(=S)N,4.372912,1.3090516
319,CC1=NC2=C(S1)C=C(C=C2)Cl,-1.030572,2.895398
320,C1=CC(=CC=C1O)S(=O)C2=CC=C(C=C2)O,2.5912383,-0.95477784
321,CC1=CC(=NC=C1)C2=CC=CC=C2,0.951263,2.8382318
322,CC(=O)C1CC2CCC1C2,0.47501883,1.1072118
323,C1=CSC(=C1)C(=O)CCCO,5.6352663,0.7912907
324,C#C,3.2942972,-1.2582445
325,CCN(CC)CC1=CC=CC=N1,4.3635406,1.5183436
326,C1CNN=C1,0.27685538,3.465706
327,CCC1=CCC2=CC=CC=C21,0.9533946,6.2567573
328,COC1=C(C(=CC=C1)Br)OC,-0.27147987,-0.13234664
329,CCN1C(=O)CSC1=S,1.678336,-0.3361884
330,C1=CC(=NC(=C1)C(=O)O)C(=O)O,2.0022898,2.3676953
331,CC(=O)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C,2.877906,3.783415
332,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)O,4.71861,-0.10328952
333,CC1=NC=CC2=C1C3=CC=CC=C3N2,-1.5300757,3.0665655
334,CC(C)OC1=NC=NC2=C1NC=N2,-1.8211524,3.9916883
335,C1CCC1,5.9662437,6.9909215
336,[O-][O],0.4326298,-1.098033
337,CCCCCCC[N+](C)(C)[O-],7.016564,0.84811586
338,CC(C)C1=CC=C(C(=O)C=C1)O,2.7497747,-1.0968766
339,C1=CN2C=NC3=C(C2=N1)NC=N3,-1.1961474,4.0249243
340,C1=CC=C(C=C1)C(=O)CC(=O)[O-],4.817858,-1.3983092
341,C1=CC(=C(C#N)C#N)C=CC1=C(C#N)C#N,3.6326263,-1.7406335
342,C1CO[N+](=C1)[O-],5.462089,7.443674
343,CC1=NC(=CC=C1)C2=CC=NN2,0.7927523,2.8705885
344,C1=C(C=NC=N1)F,1.3765486,1.5847373
345,C1C=CC(C=C1)(N=[N+]=[N-])N=[N+]=[N-],1.9671147,1.4606968
346,CCN(CCO)CCO,0.95926446,-1.6795954
347,CC1=C(C=CC(=C1)N(CCCl)CCCl)N=NC2=CC=CC=C2C(=O)O,0.7241741,-0.5894734
348,CCOC(=O)C1=CC=CC=C1,3.755925,-1.3491253
349,C=CC1=CC=CC=C1O,0.41376758,-1.0376003
350,C1=CON=C1,1.8317919,2.3856
351,C1C2=C(CN1)C(=CC=C2)F,0.31606784,5.4333153
352,C1=CC=NC(=C1)C2=CNN=C2,0.04746645,3.0210757
353,C1=C(C(=CN1)C(=O)N)C(=O)N,0.47470412,1.64671
354,[B-][B],4.1241684,-1.6543348
355,[B]1[B][B][B][B]C2[B]C([B]2)[B][B][B]1,7.1831174,4.339728
356,C1CO[CH]1,1.7632928,4.8369513
